"batter","batter_name"
475243,"Travis Wood"
554431,"Tyler Matzek"
468406,"Jonathan Herrera"
429717,"Dan Haren"
543484,"Mikie Mahtook"
571666,"Michael Fiers"
467143,"Hector Gomez"
453172,"Jared Hughes"
506702,"Sandy Leon"
434540,"Garrett Jones"
217100,"Willie Bloomquist"
425532,"Jerome Williams"
453311,"Tim Lincecum"
453344,"Brandon Morrow"
648717,"Alexander Guerrero"
518716,"Dillon Gee"
541650,"Hernan Perez"
502042,"Chris Archer"
474699,"Vance Worley"
491696,"Jesus Sucre"
502004,"George Kontos"
451713,"Carlos Peguero"
605227,"Taylor Featherston"
489232,"Anthony Recker"
430910,"Brayan Pena"
518902,"Pete Kozma"
502374,"Michael McKenry"
430603,"Don Kelly"
501992,"Nate Karns"
425557,"Jeff Baker"
594987,"Casey Sadler"
457711,"Sean O'Sullivan"
408242,"Wil Nieves"
502009,"Mat Latos"
572020,"James Paxton"
516970,"Sugar Ray Marimon"
547874,"Hisashi Iwakuma"
453307,"David Huff"
571527,"David Buchanan"
458582,"Reid Brignac"
592836,"Taijuan Walker"
594940,"Daniel Muno"
517370,"Jimmy Paredes"
456121,"Chris Denorfia"
572180,"Andrew Susac"
456701,"Homer Bailey"
592166,"Ryan Brett"
593525,"Orlando Caxito"
571893,"Adam Liberatore"
451109,"Brett Hayes"
543184,"Christian Friedrich"
607259,"Nicholas Martinez"
457760,"Daniel Dorn"
467070,"Elian Herrera"
502239,"Trevor Cahill"
451596,"Yovani Gallardo"
518653,"Jacob Elmore"
430661,"Dustin McGowan"
502211,"Michael Bolsinger"
488810,"Tony Cruz"
542883,"Dean Anna"
519071,"Reynaldo Navarro"
502205,"Grant Green"
571970,"Maxwell Muncy"
453178,"Ian Kennedy"
518542,"Juan Centeno"
592774,"Cody Stanley"
435044,"Scott Baker"
543942,"Robert Wooten"
516910,"Carlos Frias"
543521,"Collin McHugh"
595918,"A.J. Cole"
516809,"Junior Lake"
606160,"Rafael Montero"
433584,"Roberto Hernandez"
543321,"L.J. Hoes"
501789,"Will Harris"
605894,"Severino Gonzalez"
547179,"Michael Lorenzen"
452035,"Kyle Blanks"
502409,"Jonathan Diaz"
608641,"Tim Cooney"
592314,"Michael Foltynewicz"
592533,"Cody Martin"
599096,"Dilson Herrera"
450351,"C.J. Wilson"
502327,"Hector Santiago"
542994,"Joey Butler"
500207,"Jhonatan Solano"
450308,"Jered Weaver"
467785,"Radhames Liz"
595307,"Michael Maness"
621035,"Christopher Taylor"
595978,"Austin Hedges"
451532,"Chad Billingsley"
430897,"Nick Swisher"
544928,"Tyler Lyons"
519301,"Sammy Solis"
506747,"Francisco Pena"
543921,"Joseph Wieland"
448674,"Douglas Bernier"
434622,"Ubaldo Jimenez"
543459,"Stephen Lombardozzi"
595025,"Zachary Walters"
465674,"Pedro Ciriaco"
501659,"Abraham Almonte"
518468,"Michael Blazek"
476192,"Johnny Monell"
543339,"Daniel Hudson"
573064,"Vidal Nuno"
474494,"Thomas Field"
571868,"Marc Krauss"
519242,"Chris Sale"
500779,"Jose Quintana"
595014,"Blake Treinen"
456071,"Yohan Flande"
592239,"Todd Cunningham"
489305,"Xavier Scruggs"
466948,"Jean Machi"
445213,"Brandon Kintzler"
456034,"David Price"
545338,"Nick Franklin"
541640,"Erasmo Ramirez"
571553,"Darrell Ceciliani"
329092,"Randy Choate"
467798,"Jose Tabata"
488689,"Mike Baxter"
543135,"Nathan Eovaldi"
594694,"Wilmer Difo"
543606,"Jake Odorizzi"
462515,"Miguel Socolovich"
460059,"Mike Pelfrey"
493159,"Tsuyoshi Wada"
592869,"Tyler Wilson"
571761,"Zachary Heathcott"
519107,"Andrew Parrino"
571735,"David Hale"
605541,"Mike Wright"
605169,"Carter Capps"
456068,"Miguel Gonzalez"
285078,"Josh Hamilton"
519326,"Hunter Strickland"
553988,"Dixon Machado"
489265,"Sergio Romo"
570632,"Jose Urena"
501245,"Alfredo Marte"
450172,"Edinson Volquez"
518863,"Taylor Jordan"
592665,"Addison Reed"
446225,"Ed Easley"
517414,"Randall Delgado"
570649,"Yordano Ventura"
621962,"Ian Thomas"
572788,"Tyler Cravy"
608336,"Joey Gallo"
462136,"Marco Estrada"
285079,"R.A. Dickey"
521230,"Liam Hendriks"
451089,"Shane Peterson"
279824,"Mark Buehrle"
571665,"Daniel Fields"
519345,"Joseph Terdoslavich"
425543,"Josh Wilson"
516589,"Andre Rienzo"
518748,"Justin Grimm"
518771,"Mitchell Harris"
570482,"Giovanny Urshela"
592621,"Kyle Parker"
453895,"Brendan Ryan"
605323,"Kyle Kubitza"
592863,"Mason Williams"
429781,"Kevin Correia"
430599,"Joe Blanton"
488703,"Jeff Bianchi"
543903,"Allen Webster"
592620,"Jarrett Parker"
425386,"Jeremy Guthrie"
543706,"Daniel Robertson"
502126,"Domonic Brown"
547888,"Masahiro Tanaka"
534910,"Jesse Hahn"
571825,"James Jones"
543507,"Trevor May"
476633,"Chris Parmelee"
545333,"Trevor Bauer"
425626,"Chris Capuano"
571577,"Scott Copeland"
457918,"J.A. Happ"
523260,"Joe Kelly"
518764,"Donovan Hand"
434643,"Wandy Rodriguez"
542882,"Matthew Andriese"
430613,"Ronald Belisario"
516811,"Eury Perez"
519168,"Anthony Ranaudo"
346793,"Jeremy Affeldt"
518418,"Phillippe Aumont"
592593,"Justin Nicolino"
502522,"Justin Miller"
543056,"Daniel Coulombe"
605388,"Adam Morgan"
595001,"Josh Smith"
448170,"Travis Ishikawa"
574831,"Michael Choice"
488846,"Brian Duensing"
572138,"Jonathan Singleton"
502261,"Cole Gillespie"
455374,"Antonio Bastardo"
