"batter","batter_name"
570482,"Giovanny Urshela"
543380,"Taylor Jungmann"
592621,"Kyle Parker"
593871,"Jorge Polanco"
453895,"Brendan Ryan"
605323,"Kyle Kubitza"
553993,"Eugenio Suarez"
592863,"Mason Williams"
518618,"Derek Dietrich"
429781,"Kevin Correia"
430599,"Joe Blanton"
488703,"Jeff Bianchi"
543903,"Allen Webster"
592620,"Jarrett Parker"
425386,"Jeremy Guthrie"
592200,"Curt Casali"
543706,"Daniel Robertson"
596019,"Francisco Lindor"
502126,"Domonic Brown"
621439,"Byron Buxton"
547888,"Masahiro Tanaka"
607074,"Carlos Rodon"
534910,"Jesse Hahn"
571825,"James Jones"
543507,"Trevor May"
476633,"Chris Parmelee"
545333,"Trevor Bauer"
656941,"Kyle Schwarber"
570267,"Domingo Santana"
425626,"Chris Capuano"
432934,"Chris Young"
571577,"Scott Copeland"
431148,"Scott Kazmir"
457918,"J.A. Happ"
502043,"Kyle Gibson"
523260,"Joe Kelly"
593495,"Daniel Castro"
518764,"Donovan Hand"
519085,"Brett Oberholtzer"
434643,"Wandy Rodriguez"
542882,"Matthew Andriese"
430613,"Ronald Belisario"
516811,"Eury Perez"
519168,"Anthony Ranaudo"
477165,"Brett Wallace"
605538,"Matt Wisler"
346793,"Jeremy Affeldt"
518418,"Phillippe Aumont"
594824,"Greg Garcia"
592593,"Justin Nicolino"
502522,"Justin Miller"
543056,"Daniel Coulombe"
605388,"Adam Morgan"
595001,"Josh Smith"
429711,"Franklin Gutierrez"
448170,"Travis Ishikawa"
574831,"Michael Choice"
488846,"Brian Duensing"
572138,"Jonathan Singleton"
500743,"Miguel Rojas"
502261,"Cole Gillespie"
455374,"Antonio Bastardo"
543698,"Donn Roach"
543548,"Tommy Milone"
571927,"Steven Matz"
430652,"Jason Bourgeois"
502034,"Emmanuel Burriss"
491676,"Gorkys Hernandez"
571918,"Deven Marrero"
461833,"Phil Hughes"
543557,"Mike Montgomery"
501303,"Ehire Adrianza"
544365,"Manny Banuelos"
593934,"Miguel Sano"
430912,"Matt Cain"
605228,"Jose Fernandez"
502100,"Alex Presley"
502054,"Thomas Pham"
571578,"Patrick Corbin"
542587,"Elvis Araujo"
430911,"David Aardsma"
453385,"Clayton Richard"
594736,"Cody Anderson"
489067,"Ryan Lollis"
527043,"Jefry Marte"
543038,"Dusty Coleman"
548337,"Logan Verrett"
517593,"Danny Salazar"
474668,"Eric Surkamp"
460003,"Taylor Teagarden"
542923,"Dallas Beeler"
571760,"Andrew Heaney"
596144,"Cheslor Cuthbert"
518170,"Jordany Valdespin"
430681,"Dan Johnson"
533167,"Matt Shoemaker"
572233,"Christian Walker"
518700,"Eric Fryer"
502010,"Jacob Brigham"
502676,"Cole Figueroa"
573135,"Tyler Saladino"
542674,"Gonzalez Germen"
444836,"Aaron Laffey"
115629,"LaTroy Hawkins"
524968,"Jesus Montero"
608701,"Robert Refsnyder"
545404,"Brandon Beachy"
543045,"Adam Conley"
445197,"Michael Dunn"
500610,"Deolis Guerra"
592612,"Josh Osich"
542513,"Tomas Telis"
591712,"Oscar Hernandez"
446372,"Corey Kluber"
471911,"Carlos Carrasco"
543094,"Jaff Decker"
518603,"Justin De Fratus"
543219,"Sean Gilmartin"
519043,"Matt Moore"
425835,"Chin-hui Tsao"
572039,"Stephen Piscotty"
457448,"Matt Harrison"
543569,"Brent Morel"
605400,"Aaron Nola"
543881,"Pedro Villarreal"
527048,"Martin Perez"
465753,"Pedro Florimon Jr."
542866,"Austin Adams"
643327,"Zack Godley"
544725,"Leury Garcia"
542583,"Jesus Aguilar"
624424,"Michael Conforto"
445926,"Jesse Chavez"
545346,"Zach Lee"
605135,"Chris Bassitt"
457789,"Jemile Weeks"
518420,"Dylan Axelrod"
